Type, Latitude, Longitude
T,-7.799990,110.352096
T,-7.799990,110.352096
T,-7.799990,110.352096
T,-7.799993,110.352088
T,-7.799993,110.352088
T,-7.799993,110.352088
T,-7.799993,110.352088
T,-7.799993,110.352088
T,-7.799993,110.352088
T,-7.799997,110.352088
T,-7.799997,110.352088
T,-7.799997,110.352088
T,-7.799995,110.352088
T,-7.799995,110.352088
T,-7.799995,110.352088
